id_pergunta,perfil,pergunta,resposta,gabarito;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Descanse Para que mantenha a sua própria saúde, tanto psicológica como física equilibrada, é necessário que descanse da tarefa de cuidar de forma regular. Alimente-se adequadamente Para que se sinta com mais energia deve fazer uma dieta equilibrada e diversificada. Pratique exercício Ajuda a reduzir o stress, previne doenças cardiovasculares, ajuda a dormir melhor e previne a osteoporose. Manual do Cuidador Informal Página 5 4 - GESTÃO DO STRESS Solicite e aceite ajuda Assegure-se que tem metas e expectativas realistas. Não espere ter uma casa perfeita ou uma vida social como a que tinha antes de assumir o papel como prestador de cuidados. O humor é por vezes o melhor remédio. O humor pode realizar milagres como meio de reduzir o stress. Procure apoios através de amigos, grupos de apoio ou um profissional. Evite pessoas difíceis, com por exemplo amigos que criticam demasiado. 4.1 - POSSÍVEIS SINAIS DE ESGOTAMENTO E/OU STRESS  Problemas de sono;  Perca de energia, fadiga crónica, sensação de cansaço contínuo;  Isolamento;  Consumo excessivo de bebidas com cafeína, álcool, tabaco e medicamentos;  Problemas de memória e concentração;  Menor interesse pelas actividades e pessoas que anteriormente eram objecto de interesse;  Aumento ou diminuição do apetite;  Dar demasiada importância a pequenos detalhes;  Mudanças frequentes de humor ou do estado de ânimo. Se apresenta alguns destes sintomas, poderá estar a carregar um peso demasiado elevado.;;;;;;;;;;;;;;;;;;;;;;;;;;
---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raiva: diante das sua recusas, falta de controle dos esfíncteres. ! Ansiedade: por espera de progresso do paciente, para sair da rotina do dia a dia da doença. ! Culpa: por ter pensamento e atitudes as vezes negativas. Pode vivenciar: ! Cansaço. ! Insônia. ! Perda de autocontrole. ! Impotência. ! Depressão. Calma! Procure: ! Deixar o idoso sempre ocupado. ! Assistir à TV. 71 Manual para Cuidadores Informais de Idosos ! Se possível caminhar, tomar banho de sol e fazer alguns exercícios dentro de seus limites. ! Incentivá-lo a rezar (se o paciente for religioso). ! Não responder pelo paciente. ! Não faça por ele o que ele pode fazer. ! Sair de perto quando estiver perdendo o autocontrole e solicitar ajuda de outro cuidador da família ou voluntário. ! Sempre que possível revezar com alguém. ! Procurar se informar a respeito da evolução da patologia. ! Procurar recursos existentes na comunidade. ! Procurar recursos oferecidos pela saúde como: grupos existentes nos centros de saúde (Lian-Gong, Caminhada, Ginástica etc...) ! Conversar com familiares que também tenham seus doentes. ! Tente manter as atividades possíveis que o paciente executava como: dobrar roupas, vestir-se e etc. ! Cuidado com seus gestos ou palavras, o paciente é atento. ! Revezar entre os membros da família e amigos horário com disponibilidade interna de conversar/dialogar com carinho e ternura com o paciente. !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Esses ao que podemos fazer para que ela tenha uma boa desafios podem exigir diferentes tipos de cuida- qualidade vida. dos. Para garantir a participação plena da criança no jardim de infância, na escola e noutros contextos Quando cuidadoras ou cuidadores informais são os é fundamental que esses ambientes estejam pre- pais, mães, cuidar pode significar assumir um papel parados, com os devidos recursos, acessibilidade e mais exigente e durante mais tempo do que esperaestratégias de inclusão, o que pode também implicar vam – nalguns casos, a necessidade de apoio diário uma preparação mais aprofundada por parte das pode estender-se por toda a vida. cuidadoras ou dos cuidadores informais. | 61 ANIGÁP | SIAMROFNI SERODADIUC SOD ODADIUCOTUA ERBOS RALAF SOMAV AS CUIDADORAS OU CUIDADORES INFORMAIS DE UMA CRIANÇA COM DEFICIÊNCIA PODEM SENTIR: Dificuldade em aceitar a situação. O confronto com o diagnóstico de deficiência de uma criança pode gerar choque, descrença no que está a acontecer, revolta, zanga quer com o profissional de saúde que nos deu a notícia, com o nosso parceiro ou parceira a ou até connosco. Por vezes, podemos sentir que ignoramos a criança e oscilar entre sentimentos de indiferença, rejeição e culpa. Estes sentimentos são comuns, difíceis de gerir e podem afetar a nossa relação com a criança. Por isso, é importante procurar apoio – um Psicólogo ou Psicóloga pode ajudar. Necessidade de fazer o luto por uma criança que se imaginou. É natural que, antes e durante a gravidez, os pais e mães desejem uma criança saudável e que até a imaginem com determinadas características. Quando percebemos que a criança é diferente daquilo que imaginámos, é comum sentirmo-nos tristes, impotentes, envergonhados, envergonhadas e, ou desiludidos, desiludidas. É importante permitir-nos sentir essas emoções e aprender a adaptar-nos a uma “criança real” que é diferente daquela que imaginámos, valorizando as suas particularidades e o seu potencial. Ansiedade e preocupação com o futuro da criança. É natural questionarmo-nos sobre se a criança poderá ter uma vida autónoma e feliz, fazer algo de que goste e manter relações significativas. Podemos ainda ter receio de que, se algo nos acontecer, a criança perca as pessoas que melhor a conhecem e mais a ajudam, ficando sem apoio. Stresse e dificuldades noutras áreas da vida. Com as aprendizagens e tarefas que se associam ao cuidar de uma criança com deficiência, podemos sentir-nos stressados e irritáveis, podendo ficar menos produtivas no trabalho ou investir menos na relação com o nosso parceiro ou parceira, outros filhos ou filhas, familiares e amigos ou amigas. Frustração com a falta de conhecimento sobre a deficiência. Além da exigência dos cuidados, podemos ter de lidar com pessoas que fazem comentários desadequados ou limitam a sua interação com a criança, em função de crenças desadequadas e falta de informação sobre a deficiência. Por exemplo, na escola, certos profissionais podem não saber lidar com as características da criança e adotar comportamentos que não ajudam a criança ou que dificultam a sua aprendizagem e inclusão. Estas situações podem levar-nos a sentir que estamos sozinhos/as ou em constante confronto com os outros – como o sentimento de que “somos nós contra o mundo”. Por outro lado, enquanto pessoa cuidadora de crianças com deficiência também podemos descobrir forças que não sabíamos que tínhamos. Com o passar do tempo e e com a experiência, podemos sentir mais confiança na nossa capacidade de lidar com situações desafiantes. Podemos olhar para as outras pessoascom mais sensibilidade e compaixão e até descobrir potencialidades onde outras pessoas não as veem. Cuidar de uma criança com deficiência também inclui momentos felizes. Assistir ao seu desenvolvimento - seja quando aprende a comunicar, conquista autonomia numa tarefa, desenvolve os seus interesses ou partilha momentos de brincadeira com os seus amigos), pode gerar sentimentos de orgulhoso, gratidão e esperança.\"",\""Sinto-me sozinho Penso que o papel de cuidador ou sozinha. ou cuidadora tem tido um impacto negativo na minha saúde psicológica. Sinto que estou a abdicar de coisas importantes na minha vida para poder Sinto-me muito cansado ou cansada, cuidar de outra pessoa. com falta de energia. Sinto que as tarefas de cuidado que Sinto-me muito nervoso, nervosa, tenho de realizar excedem as minhas ansioso, ansiosa e/ou irritável. competências e capacidades. Estou constantemente preocupado ou Sinto-me sobrecarregado ou preocupada com alguma coisa. sobrecarregada. É demasiado para mim. Sinto-me pessimista, sem esperança no futuro. O meu padrão habitual de sono e/ou apetite alterou-se (ex. não consigo dormir, acordo várias vezes durante a É difícil relaxar. noite; como mais, como menos). É difícil gerir as tarefas de cuidado Ser cuidador ou cuidadora traz-me e, simultaneamente, realizar outras ou agrava as minhas dificuldades obrigações e actividades (ex. financeiras e/ou a minha relação com tarefas domésticas, idas ao médico, outros elementos da família,amigos ou compras). amigas. CONSULTE A CHECKLIST COMPLETA COMO UM PSICÓLOGO OU UMA PSICÓLOGA ME PODE A JUDAR? 0 5 VOLTAR AO ÍNDICE SABIA QUE… • 8 em 10 cuidadores ou cuidadoras informais referiram sentir necessidade de apoio psicológico? • 4 em 10 cuidadores ou cuidadoras informais já procuraram apoio psicológico? Os Psicólogos e as Psicólogas são profissionais que estão preparados e preparadas para nos apoiar quando vivemos situações de vida complexas e difíceis, como desempenhar o papel de cuidadora e cuidador informal, podendo ajudar-nos: • Na adaptação ao papel de cuidador ou cuidadora e rotinas de cuidados. • Na regulação de pensamentos, sentimentos e emoções que causam sofrimento. • Na reflexão sobre decisões (deixar de trabalhar, divórcio, mudar de casa, etc.) que influenciam a nossa vida e a da pessoa cuidada. • Na melhoria da comunicação com a pessoa cuidada. • Na procura de informação sobre a doença, sequelas, deficiência ou outra condição que influencia o comportamento da pessoa. • No estabelecimento de uma rede de pessoas, incluindo profissionais, que nos apoiam. • Na resolução de problemas na relação com a pessoa cuidada. • Na identificação e implementação de atividades de autocuidado no dia-a-dia. • Na aprendizagem de estratégias para gerir o nosso stresse e o stresse da pessoa cuidada. • Na gestão de situações desafiantes como depressão, ansiedade ou estados confusionais que a pessoa cuidada pode viver/manifestar. • Na antecipação da perda da pessoa de quem cuidamos. • No processo de luto, quando perdemos a pessoa de quem cuidávamos. • No regresso ao trabalho, a outras atividades e relações quando o papel de cuidador ou cuidadorat ermina. Caso sinta que precisa de apoio, saiba Como Procurar a Ajuda de um/a Psicólogo/a. Pode também ligar para a Linha de Apoio Psicológico do SNS24, através do 808 24 24 24. | 83 ANIGÁP | SIAMROFNI SERODADIUC SOD ODADIUCOTUA ERBOS RALAF SOMAV CONHEÇO ALGUÉM QUE É CUIDADORA OU CUIDADOR INFORMAL, COMO POSSO A JUDAR? 0 6 VOLTAR AO ÍNDICE As cuidadoras e cuidadores têm muitas tarefas à sua responsabilidade. A ajuda de pessoas à sua volta pode contribuir para que tenham maior capacidade para cuidarem da pessoa cuidada e maior disponibilidade para cuidarem de si. Quando conhecemos alguém que é cuidadora ou cuidador informal e queremos dar o nosso apoio, podemos: • Disponibilizar-nos para escutar e falar. As pessoas que cuidam podem beneficiar de alguém que queria genuinamente ouvir as suas preocupações ou, simplesmente, com quem partilhar conversas. Se queremos ajudar de forma ativa, será melhor perguntar primeiro e escutar se, e em quê, a pessoa precisa de ajuda. • Ajudar em tarefas concretas.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"P1-06,1,""Ele tá com febre, posso dar dipirona sem o médico saber?"",""Entendo que a febre pode ser um sinal preocupante e que você busca a melhor forma de ajudar.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Infelizmente, não tenho essa informação nos meus manuais no momento, mas meu conhecimento está sendo aprimorado constantemente. Para questões sobre medicamentos, como a dipirona, e para saber o que é mais seguro para a pessoa que você cuida, é muito importante conversar com um profissional de saúde. Ele poderá avaliar a situação e indicar o tratamento correto. Sugiro que anote essa dúvida para conversar com ele."",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"P1-15,1,""Ele fica repetindo a mesma pergunta toda hora, é normal isso?"",""Entendo que essa situação pode ser desafiadora e gerar preocupação para você.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Infelizmente, não tenho essa informação nos meus manuais no momento, mas meu conhecimento está sendo aprimorado constantemente. Sugiro que anote essa dúvida para conversar com um profissional de saúde."",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"P2-02,2,Existe uma rotina recomendada de exercícios de fisioterapia para fazer em casa entre as sessões?,""Entendo que você esteja buscando orientações para ajudar a pessoa cuidada a se movimentar e se recuperar. É um cuidado muito importante! Fazer alguns exercícios durante o dia é fundamental para evitar complicações como rigidez, perda de movimentos, dores e até feridas, especialmente para quem fica muito tempo na cama.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aqui estão alguns exemplos de exercícios que podem ser feitos com a pessoa cuidada, mesmo que ela esteja na cama ou na cadeira de rodas:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.  **Dedos dos pés:** Mova cada um dos dedos para cima, para baixo, para os lados e faça movimentos circulares.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.  **Pés e tornozelos:** Segure o tornozelo da pessoa e movimente o pé para cima, para baixo, para os lados e em círculos.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.  **Pernas:** Dobre e estenda uma das pernas, e depois repita com a outra. Tenha cuidado para não arrastar o calcanhar na cama, para evitar feridas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.  **Joelhos e quadris:** Com os pés apoiados na cama e os joelhos dobrados, faça movimentos de separar e unir os joelhos. Você também pode pedir para a pessoa levantar os quadris e abaixar lentamente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.  **Braços:** Levante e abaixe os braços da pessoa, depois abra e feche.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.  **Cotovelos, punhos e dedos:** Faça movimentos de dobrar e estender os cotovelos, depois os punhos e os dedos. Para os punhos e dedos, você pode entrelaçar as mãos da pessoa e, com os braços estendidos, fazer movimentos circulares.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.  **Pescoço:** Ajude a pessoa a flexionar a cabeça suavemente para frente e para trás, para um lado e depois para o outro. Se ela sentir tontura, pare o movimento.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.  **Exercícios faciais:** Peça para a pessoa encher as bochechas de ar e depois murchar, colocar a língua para fora e movimentar de um lado para o outro, e fechar os olhos com força.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
**Para quem teve AVC (Acidente Vascular Cerebral):**;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
É muito importante estimular a pessoa a usar o lado do corpo que foi afetado. Você pode incentivá-la a tocar partes do próprio corpo (como cabeça, nariz, boca, joelhos, pés) com a mão do lado comprometido. No quarto, tente deixar os móveis (como criado-mudo, televisão e porta) do lado afetado, para que a pessoa seja estimulada a olhar e se virar para esse lado. Se a mão estiver fechada, você pode colocar um rolo de tecido para ajudar a mantê-la aberta.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lembre-se sempre que os exercícios devem ser feitos de forma lenta e cuidadosa, respeitando os limites da pessoa. É muito importante conversar com a equipe de saúde que acompanha o paciente (como a equipe do Melhor em Casa) para saber se há alguma contraindicação para movimentar a pessoa.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Você quer saber mais sobre: Como evitar feridas na pele de quem fica muito tempo deitado, Quais são os exercícios respiratórios que posso fazer ou Como posicionar corretamente o paciente na cama? Basta me dizer qual assunto tem interesse."",""Movimentar os punhos e os dedos. Com as mãos do paciente entrelaçadas e os braços estendidos, fazer movimentos circulares. No caso do paciente que teve A.V.C., além dos exercícios citados acima, é importante movimentar o braço afetado, mantendo sua perna e o pé afetados apoiados na cama. Os membros não comprometidos também devem ser movimentados. Na coluna cervical (pescoço) realizar movimentos para baixo, para cima, para os lados e na diagonal. Os movimentos devem ser lentos. Em caso de necessidade ajudá-lo no exercício. Ilustração 51 - Movimentação dos membros afetados O paciente deve ser estimulado a tocar seu próprio corpo com o membro superior comprometido, tocando com sua mão algumas partes de seu corpo como a cabeça, nariz, boca, abdômen, joelhos, pés, etc. Na posição ortostática (em pé), apoiar os braços em uma mesa e soltar o peso do corpo nos braços, e transferir o peso para cada braço"; soltar também o peso do corpo no membro inferior comprometido. No quarto desse paciente, as mobílias, o criado mudo, a televisão e a porta devem estar do lado comprometido, estimulando que ele olhe por esse lado. A poltrona ou cadeira deve ser resistente e com braço, pois o braço do paciente deve estar estendido e apoiado. A mão deve estar aberta, se possível. O paciente deve tentar utilizar ao máximo seu lado comprometido.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 Exercícios Uma das atividades do cuidador é ajudar a pessoa cuidada a se recuperar, isso é, ajudá-la a recuperar movimentos e funções do corpo, prejudicados pela doença. Alguns exercícios podem ser feitos mesmo que a pessoa cuidada esteja na cama ou em cadeira de rodas. Exemplos de alguns exercícios que podem ser feitos com a pessoa cuidada na cama ou na cadeira de rodas: • Movimente cada um dos dedos dos pés, para cima e para baixo, para os lados e com movimentos de rotação. 36 • Segure o tornozelo e movimente o pé para cima, para baixo, para os dois lados e em movimentos circulares. • Dobre e estenda uma das pernas, repita o movimento com a outra perna (sem atritar o calcanhar na cama, que favorece o surgimento de feridas). • Com os pés da pessoa apoiados na cama e os joelhos dobrados, faça movimentos de separar e unir os joelhos. 37 • Com os pés apoiados na cama e os joelhos dobrados, solicite que a pessoa cuidada levante os quadris e abaixe lentamente. • Levante e abaixe os braços da pessoa, depois abra e feche. • Faça movimentos de dobrar e estender os cotovelos, os punhos e depois os dedos. • Ajude a pessoa a flexionar suave e lentamente a cabeça para frente e para trás, para um lado e depois para o outro, isto alonga os músculos do pescoço. Estimule para que a pessoa faça os movimentos sozinha, se necessário o cuidador pode ajudá-la. No caso de tonturas suspenda o movimento até melhorar do sintoma. 38 • Peça à pessoa cuidada que encha as bochechas de ar e depois murche a bochecha para dentro; a seguir peça a ela que coloque a língua para fora e movimente de um lado para o outro; feche os olhos com força fazendo caretas. É importante que o cuidador estimule a pessoa cuidada a utilizar ao máximo o lado do corpo que está comprometido, realizando com o lado afetado todos os exercícios citados anteriormente. Caso seja necessário, o cuidador pode ajudá-la na realização desses exercícios. Sempre que possível é bom que a porta do quarto e os móveis estejam do lado mais comprometido, pois isso faz com que a pessoa se volte mais para esse lado estimulando os movimentos do membro afetado. 16.1 Exercícios respiratórios Quando a pessoa cuidada está com os movimentos limitados ou permanece acamada por longos períodos é comum que se acumule secreção (catarro) nos pulmões. Por isso é importante que o cuidador a estimule e ajude a fazer exercícios respiratórios para eliminar essas secreções, melhorar a entrada de ar nos pulmões e prevenir o aparecimento de pneumonia. A seguir serão descritos alguns exercícios, que dependendo das condições físicas da pessoa cuidada, podem ser feitos com a pessoa deitada, sentada ou em pé: • Ajude a pessoa a se sentar e peça a ela que coloque as mãos sobre a barriga, puxe o ar pelo nariz, e solte pela boca, de forma lenta e prolongada. Dessa forma ela vai perceber a mão se movimentando para cima quando o pulmão enche e para baixo quando solta o ar. • Peça à pessoa para puxar o ar pelo nariz e ao mesmo tempo levantar os braços estendidos, depois peça para a pessoa soltar o ar pela boca abaixando os braços. 39 Fique Atento: É importante oferecer à pessoa cuidada maior quantidade de líquido para facilitar a saída do catarro e estimulá-la a tossir e cuspir. Procure observar a cor do catarro, pois se o catarro estiver amarelo, verde ou com sangue é preciso comunicar à equipe de saúde. O ambiente da casa precisa estar sempre limpo, arejado e livre de fumaça e poeira. A limpeza do chão e dos móveis deve ser feita diariamente com pano úmido. Os produtos de limpeza com cheiro forte devem ser evitados, pois podem provocar alergias e alterações respiratórias. 17 Adaptações ambientais Muitas vezes é preciso fazer algumas adaptações no ambiente da casa para melhor abrigar a pessoa cuidada, evitar quedas, facilitar o trabalho do cuidador e permitir que a pessoa possa se tornar mais independente. O lugar onde a pessoa mais fica deve ter somente os móveis necessários.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
